region_id,center_node_idx,cell_id
UPMC_c001_v001_r001_reg037,3624,187931
UPMC_c001_v001_r001_reg037,4263,188653
UPMC_c001_v001_r001_reg037,1615,185753
UPMC_c001_v001_r001_reg037,3897,188251
UPMC_c001_v001_r001_reg037,2163,186344
UPMC_c001_v001_r001_reg038,1884,191032
UPMC_c001_v001_r001_reg038,2341,191667
UPMC_c001_v001_r001_reg038,365,189141
UPMC_c001_v001_r001_reg039,794,192849
UPMC_c001_v001_r001_reg039,842,192916
UPMC_c001_v001_r001_reg040,514,194141
UPMC_c001_v001_r001_reg040,517,194144
UPMC_c001_v001_r001_reg041,612,196180
UPMC_c001_v001_r001_reg041,657,196231
UPMC_c001_v001_r001_reg041,717,196309
UPMC_c002_v001_r001_reg001,601,221579
UPMC_c002_v001_r001_reg001,2209,223231
UPMC_c002_v001_r001_reg001,1139,222132
UPMC_c002_v001_r001_reg001,4409,225507
UPMC_c002_v001_r001_reg001,2713,223747
UPMC_c002_v001_r001_reg001,1020,222011
UPMC_c002_v001_r001_reg002,2636,230008
UPMC_c002_v001_r001_reg002,84,227334
UPMC_c002_v001_r001_reg002,562,227829
UPMC_c002_v001_r001_reg002,582,227849
UPMC_c002_v001_r001_reg005,4538,250125
UPMC_c002_v001_r001_reg005,6572,252250
UPMC_c002_v001_r001_reg005,1634,247140
UPMC_c002_v001_r001_reg005,1847,247361
UPMC_c002_v001_r001_reg005,6026,251686
UPMC_c002_v001_r001_reg005,3427,248991
UPMC_c002_v001_r001_reg005,4371,249955
UPMC_c002_v001_r001_reg005,2957,248508
UPMC_c002_v001_r001_reg006,4106,258660
UPMC_c002_v001_r001_reg006,1027,255062
UPMC_c002_v001_r001_reg006,1534,255680
UPMC_c002_v001_r001_reg006,4241,258845
UPMC_c002_v001_r001_reg006,5520,260411
UPMC_c002_v001_r001_reg006,1880,256082
UPMC_c002_v001_r001_reg007,723,261203
UPMC_c002_v001_r001_reg007,3465,264120
UPMC_c002_v001_r001_reg007,229,260686
UPMC_c002_v001_r001_reg007,1407,261949
UPMC_c002_v001_r001_reg007,311,260771
UPMC_c002_v001_r001_reg008,3389,269267
UPMC_c002_v001_r001_reg008,7040,272959
UPMC_c002_v001_r001_reg008,6508,272426
UPMC_c002_v001_r001_reg008,4331,270230
UPMC_c002_v001_r001_reg008,616,266368
UPMC_c002_v001_r001_reg008,4256,270155
UPMC_c002_v001_r001_reg008,6274,272192
UPMC_c002_v001_r001_reg008,4252,270151
UPMC_c002_v001_r001_reg009,328,274266
UPMC_c002_v001_r001_reg009,718,274791
