region_id,cell_id,cluster
UPMC_c001_v001_r001_reg004,17940,0
UPMC_c001_v001_r001_reg004,20204,0
UPMC_c001_v001_r001_reg004,18143,0
UPMC_c001_v001_r001_reg004,18154,0
UPMC_c001_v001_r001_reg004,15835,0
UPMC_c001_v001_r001_reg004,17450,0
UPMC_c001_v001_r001_reg004,20162,0
UPMC_c001_v001_r001_reg004,15832,1
UPMC_c001_v001_r001_reg004,17952,1
UPMC_c001_v001_r001_reg004,17086,1
UPMC_c001_v001_r001_reg004,22807,0
UPMC_c001_v001_r001_reg004,18464,1
UPMC_c001_v001_r001_reg004,18241,0
UPMC_c001_v001_r001_reg004,17677,1
UPMC_c001_v001_r001_reg004,20912,0
UPMC_c001_v001_r001_reg004,19427,0
UPMC_c001_v001_r001_reg004,21041,0
UPMC_c001_v001_r001_reg004,20134,0
UPMC_c001_v001_r001_reg004,19521,0
UPMC_c001_v001_r001_reg004,16129,0
UPMC_c001_v001_r001_reg004,22354,1
UPMC_c001_v001_r001_reg004,17868,0
UPMC_c001_v001_r001_reg004,17041,0
UPMC_c001_v001_r001_reg004,20422,0
UPMC_c001_v001_r001_reg004,18922,0
UPMC_c001_v001_r001_reg004,21076,0
UPMC_c001_v001_r001_reg004,18306,0
UPMC_c001_v001_r001_reg004,20101,1
UPMC_c001_v001_r001_reg004,20036,0
UPMC_c001_v001_r001_reg004,18309,0
UPMC_c001_v001_r001_reg009,43442,1
UPMC_c001_v001_r001_reg009,46136,1
UPMC_c001_v001_r001_reg009,47731,1
UPMC_c001_v001_r001_reg009,43090,1
UPMC_c001_v001_r001_reg009,45189,1
UPMC_c001_v001_r001_reg009,47310,1
UPMC_c001_v001_r001_reg009,45513,1
UPMC_c001_v001_r001_reg009,43582,1
UPMC_c001_v001_r001_reg009,44923,1
UPMC_c001_v001_r001_reg009,47678,0
UPMC_c001_v001_r001_reg009,43885,1
UPMC_c001_v001_r001_reg009,47822,1
UPMC_c001_v001_r001_reg009,47856,1
UPMC_c001_v001_r001_reg009,46834,1
UPMC_c001_v001_r001_reg009,45530,1
UPMC_c001_v001_r001_reg009,45444,1
UPMC_c001_v001_r001_reg009,44912,1
UPMC_c001_v001_r001_reg009,46317,1
UPMC_c001_v001_r001_reg009,42720,1
UPMC_c001_v001_r001_reg009,47640,1
UPMC_c001_v001_r001_reg009,47921,1
UPMC_c001_v001_r001_reg009,46025,1
UPMC_c001_v001_r001_reg009,48127,1
UPMC_c001_v001_r001_reg009,47834,1
UPMC_c001_v001_r001_reg009,43652,1
UPMC_c001_v001_r001_reg009,43232,1
UPMC_c001_v001_r001_reg009,45850,1
UPMC_c001_v001_r001_reg009,45177,1
UPMC_c001_v001_r001_reg009,46107,0
UPMC_c001_v001_r001_reg009,47995,1
UPMC_c001_v001_r001_reg009,43747,1
UPMC_c001_v001_r001_reg009,43096,0
UPMC_c001_v001_r001_reg009,47714,1
UPMC_c001_v001_r001_reg009,46665,1
UPMC_c001_v001_r001_reg009,48574,1
UPMC_c001_v001_r001_reg009,47681,1
UPMC_c001_v001_r001_reg009,43990,1
UPMC_c001_v001_r001_reg009,46591,1
UPMC_c001_v001_r001_reg009,47896,0
UPMC_c001_v001_r001_reg009,43400,0
UPMC_c001_v001_r001_reg009,47519,0
UPMC_c001_v001_r001_reg009,43039,1
UPMC_c001_v001_r001_reg009,47197,1
UPMC_c001_v001_r001_reg009,43083,1
UPMC_c001_v001_r001_reg009,45562,1
UPMC_c001_v001_r001_reg009,43778,1
UPMC_c001_v001_r001_reg009,47264,1
UPMC_c001_v001_r001_reg009,45975,1
UPMC_c001_v001_r001_reg009,42881,0
UPMC_c001_v001_r001_reg009,45568,1
UPMC_c001_v001_r001_reg009,45472,1
UPMC_c001_v001_r001_reg009,47200,1
UPMC_c001_v001_r001_reg009,43895,1
