CELL_ID,X,Y
1052,879,545
1035,2639,534
1040,2683,535
1051,276,544
1059,826,547
1047,238,540
1054,765,544
1044,1146,539
1049,1179,540
1039,1890,535
1043,2672,536
1058,609,544
1057,2400,544
1061,341,548
1062,751,550
1055,1126,545
1050,1311,541
1074,628,554
1065,993,550
1056,1159,545
1064,178,550
1073,598,555
1053,667,546
1069,1035,553
1070,1403,551
1068,733,551
1079,365,555
1060,967,548
1063,1203,548
1080,509,556
1084,1434,558
1076,1679,554
1071,1823,553
1093,1242,561
1066,2053,550
1067,2107,551
1078,532,556
1088,298,558
1072,393,553
1089,550,559
1092,792,560
1098,1011,563
1086,2382,558
1083,109,557
1075,1170,555
1091,2365,559
1085,2159,558
1102,976,565
1105,195,567
1103,572,566
1097,860,563
1082,1271,557
1090,1726,560
1095,2305,562
1077,2645,555
1100,1145,563
1087,131,559
1081,1187,557
1106,381,568
1101,2009,563
1096,2495,561
1110,1055,569
1107,403,569
1099,1129,564
1094,1653,563
1109,120,568
1108,930,568
1122,1311,576
1121,2433,576
1104,82,567
1113,1260,571
1114,140,573
1117,1287,572
1111,1623,568
1125,825,579
1119,416,581
1127,316,580
1112,50,571
1134,273,584
1115,1273,573
1118,2170,573
1123,2460,578
1120,1897,577
1124,359,579
1138,689,585
1116,1175,574
1132,1163,582
1126,2371,578
1140,2391,582
1128,427,582
1135,501,583
1145,869,589
1141,781,589
1129,1699,582
1139,1201,584
1130,2046,582
1133,1765,583
1137,607,585
1131,948,583
1146,985,589
1147,1390,589
1136,589,584
1144,1293,588
1150,1239,594
1142,2231,586
1153,100,594
1154,252,596
1148,1077,591
1159,742,595
1169,2317,596
1158,228,596
1149,441,592
1157,1517,594
1143,148,588
1161,301,597
1151,1274,594
1160,2681,597
1162,844,600
1155,1060,595
1168,2125,600
1164,340,599
1166,200,600
1181,904,606
1156,1127,598
1165,2374,600
1180,934,606
1171,955,601
1152,1788,594
1163,2004,598
1175,2399,604
1176,1326,605
1178,2061,604
1167,1005,601
1182,1303,608
1173,508,603
1170,594,601
1177,1618,604
1172,486,604
1186,2091,610
1179,378,606
1174,1770,604
1191,2105,611
1185,525,609
1198,967,614
1200,1135,617
1184,1156,608
1183,2032,607
1190,2188,613
1188,1209,611
1189,1450,611
1196,358,615
1193,559,614
1204,1507,619
1213,2073,623
1197,763,615
1187,1081,610
1194,1286,614
1192,124,614
1207,1979,619
1215,539,625
1195,310,616
1202,1174,619
1220,1488,625
1206,1933,618
1201,2311,619
1225,1583,627
1214,2360,623
1211,2468,621
1203,1270,618
1219,1468,626
1210,2273,622
1209,739,621
1205,1812,619
1236,886,635
1222,2436,625
1199,402,617
1208,1845,621
1212,84,623
1223,1104,627
1217,2506,623
1224,390,627
1216,1747,624
1230,702,632
1240,989,636
1234,579,633
1226,1229,628
