region_id,center_node_idx,cell_id,cell_type
UPMC_c001_v001_r001_reg004,4648,20448,9
UPMC_c001_v001_r001_reg004,2778,18567,11
UPMC_c001_v001_r001_reg004,6733,22538,9
UPMC_c001_v001_r001_reg004,6789,22595,11
UPMC_c001_v001_r001_reg004,1712,17497,9
UPMC_c001_v001_r001_reg004,592,16363,11
UPMC_c001_v001_r001_reg004,2630,18418,9
UPMC_c001_v001_r001_reg004,1567,17351,9
UPMC_c001_v001_r001_reg004,5070,20870,11
UPMC_c001_v001_r001_reg004,1269,17051,9
UPMC_c001_v001_r001_reg004,5602,21404,11
UPMC_c001_v001_r001_reg004,1098,16875,10
UPMC_c001_v001_r001_reg004,6741,22546,9
UPMC_c001_v001_r001_reg004,609,16380,9
UPMC_c001_v001_r001_reg004,2647,18435,9
UPMC_c001_v001_r001_reg004,1592,17376,9
UPMC_c001_v001_r001_reg004,1186,16965,10
UPMC_c001_v001_r001_reg004,2581,18369,9
UPMC_c001_v001_r001_reg004,1724,17509,9
UPMC_c001_v001_r001_reg004,719,16492,9
UPMC_c001_v001_r001_reg004,1277,17059,9
UPMC_c001_v001_r001_reg004,3010,18800,9
UPMC_c001_v001_r001_reg004,2220,18007,9
UPMC_c001_v001_r001_reg004,5650,21452,9
UPMC_c001_v001_r001_reg004,1494,17278,9
UPMC_c001_v001_r001_reg004,6093,21896,11
UPMC_c001_v001_r001_reg004,6646,22451,11
UPMC_c001_v001_r001_reg004,6793,22599,9
UPMC_c001_v001_r001_reg004,4213,20008,9
UPMC_c001_v001_r001_reg004,2402,18190,9
UPMC_c001_v001_r001_reg004,1243,17024,9
UPMC_c001_v001_r001_reg004,4139,19934,11
UPMC_c001_v001_r001_reg004,3814,19609,9
UPMC_c001_v001_r001_reg004,3118,18909,9
UPMC_c001_v001_r001_reg004,1396,17179,10
UPMC_c001_v001_r001_reg004,5490,21291,9
UPMC_c001_v001_r001_reg004,4537,20337,9
UPMC_c001_v001_r001_reg004,1099,16876,9
UPMC_c001_v001_r001_reg004,2788,18577,9
UPMC_c001_v001_r001_reg004,4187,19982,9
UPMC_c001_v001_r001_reg004,5980,21783,9
UPMC_c001_v001_r001_reg004,6153,21956,9
UPMC_c001_v001_r001_reg004,4815,20615,9
UPMC_c001_v001_r001_reg004,280,16049,10
UPMC_c001_v001_r001_reg004,2238,18025,9
UPMC_c001_v001_r001_reg004,6273,22076,11
UPMC_c001_v001_r001_reg004,5356,21157,11
UPMC_c001_v001_r001_reg004,4124,19919,9
UPMC_c001_v001_r001_reg004,3085,18875,9
UPMC_c001_v001_r001_reg004,4435,20234,9
UPMC_c001_v001_r001_reg004,1767,17552,9
UPMC_c001_v001_r001_reg004,1629,17413,9
UPMC_c001_v001_r001_reg004,137,15905,9
UPMC_c001_v001_r001_reg004,1752,17537,9
UPMC_c001_v001_r001_reg004,6491,22295,9
UPMC_c001_v001_r001_reg004,1870,17656,10
UPMC_c001_v001_r001_reg004,5149,20950,9
UPMC_c001_v001_r001_reg004,569,16339,9
UPMC_c001_v001_r001_reg004,6525,22329,9
UPMC_c001_v001_r001_reg004,1959,17745,9
UPMC_c001_v001_r001_reg004,425,16195,11
UPMC_c001_v001_r001_reg004,4436,20235,9
UPMC_c001_v001_r001_reg004,3899,19694,9
UPMC_c001_v001_r001_reg004,6845,22652,11
UPMC_c001_v001_r001_reg004,4482,20282,9
UPMC_c001_v001_r001_reg004,4027,19822,9
UPMC_c001_v001_r001_reg004,1922,17708,9
UPMC_c001_v001_r001_reg004,4643,20443,9
UPMC_c001_v001_r001_reg004,5007,20807,11
UPMC_c001_v001_r001_reg004,4067,19862,9
UPMC_c001_v001_r001_reg004,4116,19911,9
UPMC_c001_v001_r001_reg004,1835,17621,9
UPMC_c001_v001_r001_reg004,153,15921,9
UPMC_c001_v001_r001_reg004,2793,18582,9
UPMC_c001_v001_r001_reg004,4551,20351,9
UPMC_c001_v001_r001_reg004,3417,19209,9
UPMC_c001_v001_r001_reg004,1015,16792,9
UPMC_c001_v001_r001_reg004,4293,20089,9
UPMC_c001_v001_r001_reg004,1081,16858,9
UPMC_c001_v001_r001_reg004,6304,22107,11
UPMC_c001_v001_r001_reg004,1857,17643,9
UPMC_c001_v001_r001_reg004,4632,20432,9
UPMC_c001_v001_r001_reg004,3966,19761,9
UPMC_c001_v001_r001_reg004,3119,18910,9
UPMC_c001_v001_r001_reg004,2066,17852,9
UPMC_c001_v001_r001_reg004,90,15858,11
UPMC_c001_v001_r001_reg004,6253,22056,9
UPMC_c001_v001_r001_reg004,281,16050,10
UPMC_c001_v001_r001_reg004,7012,22820,9
UPMC_c001_v001_r001_reg004,378,16148,10
UPMC_c001_v001_r001_reg004,1301,17083,9
UPMC_c001_v001_r001_reg004,3634,19428,9
UPMC_c001_v001_r001_reg004,1105,16882,9
UPMC_c001_v001_r001_reg004,5204,21005,9
UPMC_c001_v001_r001_reg004,5674,21476,11
UPMC_c001_v001_r001_reg004,621,16392,9
UPMC_c001_v001_r001_reg004,2428,18216,9
UPMC_c001_v001_r001_reg004,3094,18884,9
UPMC_c001_v001_r001_reg004,4989,20789,10
UPMC_c001_v001_r001_reg004,1270,17052,11
UPMC_c001_v001_r001_reg004,1992,17778,9
UPMC_c001_v001_r001_reg004,4793,20593,9
UPMC_c001_v001_r001_reg004,6169,21972,11
UPMC_c001_v001_r001_reg004,186,15954,10
UPMC_c001_v001_r001_reg004,2745,18534,9
UPMC_c001_v001_r001_reg004,5697,21500,9
UPMC_c001_v001_r001_reg004,1000,16775,9
UPMC_c001_v001_r001_reg004,701,16473,9
UPMC_c001_v001_r001_reg004,5045,20845,9
UPMC_c001_v001_r001_reg004,3972,19767,9
UPMC_c001_v001_r001_reg004,5076,20876,9
UPMC_c001_v001_r001_reg004,3170,18961,9
UPMC_c001_v001_r001_reg004,2113,17899,9
UPMC_c001_v001_r001_reg004,5905,21708,9
UPMC_c001_v001_r001_reg004,1408,17191,10
UPMC_c001_v001_r001_reg004,788,16561,10
UPMC_c001_v001_r001_reg004,1450,17233,9
UPMC_c001_v001_r001_reg004,4492,20292,11
UPMC_c001_v001_r001_reg004,6353,22156,9
UPMC_c001_v001_r001_reg004,5409,21210,9
UPMC_c001_v001_r001_reg004,1060,16837,10
UPMC_c001_v001_r001_reg004,6630,22435,9
UPMC_c001_v001_r001_reg004,3506,19300,9
UPMC_c001_v001_r001_reg004,846,16619,9
UPMC_c001_v001_r001_reg004,1949,17735,11
UPMC_c001_v001_r001_reg004,3808,19603,9
UPMC_c001_v001_r001_reg004,5259,21060,9
UPMC_c001_v001_r001_reg004,5331,21132,9
UPMC_c001_v001_r001_reg004,1697,17482,10
UPMC_c001_v001_r001_reg004,1115,16892,9
UPMC_c001_v001_r001_reg004,2154,17940,9
UPMC_c001_v001_r001_reg004,4405,20204,9
UPMC_c001_v001_r001_reg004,2355,18143,9
UPMC_c001_v001_r001_reg004,2366,18154,9
UPMC_c001_v001_r001_reg004,67,15835,9
UPMC_c001_v001_r001_reg004,1665,17450,9
UPMC_c001_v001_r001_reg004,4365,20162,9
UPMC_c001_v001_r001_reg004,64,15832,11
UPMC_c001_v001_r001_reg004,2166,17952,10
UPMC_c001_v001_r001_reg004,1304,17086,10
UPMC_c001_v001_r001_reg004,6999,22807,11
UPMC_c001_v001_r001_reg004,2676,18464,9
UPMC_c001_v001_r001_reg004,2453,18241,9
UPMC_c001_v001_r001_reg004,1891,17677,10
UPMC_c001_v001_r001_reg004,5112,20912,9
UPMC_c001_v001_r001_reg004,3633,19427,9
UPMC_c001_v001_r001_reg004,5240,21041,9
UPMC_c001_v001_r001_reg004,4338,20134,9
UPMC_c001_v001_r001_reg004,3727,19521,9
UPMC_c001_v001_r001_reg004,359,16129,9
UPMC_c001_v001_r001_reg004,6550,22354,9
UPMC_c001_v001_r001_reg004,2082,17868,9
UPMC_c001_v001_r001_reg004,1260,17041,9
UPMC_c001_v001_r001_reg004,4622,20422,9
UPMC_c001_v001_r001_reg004,3131,18922,9
UPMC_c001_v001_r001_reg004,5275,21076,9
UPMC_c001_v001_r001_reg004,2518,18306,9
UPMC_c001_v001_r001_reg004,4305,20101,9
UPMC_c001_v001_r001_reg004,4241,20036,9
UPMC_c001_v001_r001_reg004,2521,18309,9
UPMC_c001_v001_r001_reg009,859,43442,10
UPMC_c001_v001_r001_reg009,3516,46136,10
UPMC_c001_v001_r001_reg009,5086,47731,11
UPMC_c001_v001_r001_reg009,510,43090,9
UPMC_c001_v001_r001_reg009,2584,45189,11
UPMC_c001_v001_r001_reg009,4672,47310,9
UPMC_c001_v001_r001_reg009,2905,45513,11
UPMC_c001_v001_r001_reg009,994,43582,11
UPMC_c001_v001_r001_reg009,2319,44923,10
UPMC_c001_v001_r001_reg009,5033,47678,11
UPMC_c001_v001_r001_reg009,1292,43885,11
UPMC_c001_v001_r001_reg009,5175,47822,11
UPMC_c001_v001_r001_reg009,5207,47856,9
UPMC_c001_v001_r001_reg009,4200,46834,11
UPMC_c001_v001_r001_reg009,2921,45530,11
UPMC_c001_v001_r001_reg009,2838,45444,10
UPMC_c001_v001_r001_reg009,2308,44912,10
UPMC_c001_v001_r001_reg009,3693,46317,10
UPMC_c001_v001_r001_reg009,142,42720,10
UPMC_c001_v001_r001_reg009,4996,47640,11
UPMC_c001_v001_r001_reg009,5271,47921,9
UPMC_c001_v001_r001_reg009,3407,46025,10
UPMC_c001_v001_r001_reg009,5474,48127,9
UPMC_c001_v001_r001_reg009,5186,47834,9
UPMC_c001_v001_r001_reg009,1062,43652,11
UPMC_c001_v001_r001_reg009,651,43232,11
UPMC_c001_v001_r001_reg009,3234,45850,10
UPMC_c001_v001_r001_reg009,2572,45177,9
UPMC_c001_v001_r001_reg009,3487,46107,9
UPMC_c001_v001_r001_reg009,5344,47995,9
UPMC_c001_v001_r001_reg009,1155,43747,9
UPMC_c001_v001_r001_reg009,516,43096,9
UPMC_c001_v001_r001_reg009,5069,47714,9
UPMC_c001_v001_r001_reg009,4035,46665,9
UPMC_c001_v001_r001_reg009,5909,48574,11
UPMC_c001_v001_r001_reg009,5036,47681,11
UPMC_c001_v001_r001_reg009,1397,43990,9
UPMC_c001_v001_r001_reg009,3962,46591,11
UPMC_c001_v001_r001_reg009,5247,47896,9
UPMC_c001_v001_r001_reg009,817,43400,9
UPMC_c001_v001_r001_reg009,4876,47519,9
UPMC_c001_v001_r001_reg009,459,43039,10
UPMC_c001_v001_r001_reg009,4560,47197,11
UPMC_c001_v001_r001_reg009,503,43083,11
UPMC_c001_v001_r001_reg009,2953,45562,11
UPMC_c001_v001_r001_reg009,1186,43778,10
UPMC_c001_v001_r001_reg009,4627,47264,11
UPMC_c001_v001_r001_reg009,3358,45975,9
UPMC_c001_v001_r001_reg009,301,42881,11
UPMC_c001_v001_r001_reg009,2959,45568,9
UPMC_c001_v001_r001_reg009,2865,45472,11
UPMC_c001_v001_r001_reg009,4563,47200,11
UPMC_c001_v001_r001_reg009,1302,43895,10
UPMC_c001_v001_r001_reg009,5054,47699,9
UPMC_c001_v001_r001_reg009,2804,45410,11
UPMC_c001_v001_r001_reg009,476,43056,11
UPMC_c001_v001_r001_reg009,801,43384,11
UPMC_c001_v001_r001_reg009,2533,45138,11
UPMC_c001_v001_r001_reg009,2,42577,10
UPMC_c001_v001_r001_reg009,5348,47999,11
