,cv,entropy,nonzero_ratio
APOA5,5.35015,7.1119847,0.03455936805726981
AHSP,5.4285855,7.070812,0.03357195754134781
AR,5.4276505,7.071123,0.03357195754134781
CFAP53,5.45201,7.059422,0.033325104912367315
KRT20,5.4812484,7.0415983,0.03283139965440632
C6orf118,5.502573,7.0305076,0.03258454702542582
CLIC6,5.559883,7.0050488,0.03209084176746482
CSF3,5.596192,6.9847727,0.031597136509503826
SCGB2A1,5.619785,6.9732347,0.03135028388052333
OPRPN,5.628922,6.9709983,0.03135028388052333
DPEP1,5.6435175,6.9614015,0.03110343125154283
ADH4,5.6849756,6.9457836,0.03085657862256233
DERL3,5.692496,6.9381475,0.030609725993581832
SOX18,5.7104526,6.927836,0.030362873364601334
DIRAS3,5.7167244,6.9261837,0.030362873364601334
HMGCS2,5.7419286,6.914304,0.030116020735620835
C1orf194,5.759909,6.903653,0.029869168106640337
CD19,5.80452,6.887526,0.02962231547765984
CD79A,5.8233304,6.876316,0.02937546284867934
AQP8,5.8165636,6.878045,0.02937546284867934
TMEM52B,5.8960023,6.8407335,0.02863490496173784
HEMGN,5.963138,6.80576,0.027894347074796346
ACKR1,5.9995594,6.79081,0.027647494445815848
PRG4,6.055737,6.7648597,0.02715378918785485
SERPINB2,6.0815187,6.752045,0.026906936558874352
RAMP2,6.2101636,6.695905,0.02591952604295236
PCSK2,6.237189,6.683029,0.02567267341397186
HIGD1B,6.273452,6.6677647,0.025425820784991362
SLC18A2,6.2672143,6.6691356,0.025425820784991362
GKN2,6.3094974,6.6455684,0.02493211552703036
MAMDC2,6.3587894,6.6270375,0.024685262898049863
LGR5,6.430883,6.5970197,0.024191557640088866
AQP2,6.418518,6.599838,0.024191557640088866
TNFRSF13B,6.4472547,6.585964,0.023944705011108368
ALAS2,6.4575944,6.5836315,0.023944705011108368
SLC22A8,6.4631968,6.582628,0.023944705011108368
GPC3,6.5025516,6.5662837,0.02369785238212787
DES,6.553672,6.548128,0.02345099975314737
NAT8,6.534628,6.551895,0.02345099975314737
SFRP2,6.5645432,6.5379095,0.023204147124166873
ADIPOQ,6.612827,6.520028,0.022957294495186374
CCL19,6.695048,6.486439,0.022463589237225377
KNG1,6.7081733,6.483935,0.022463589237225377
PVALB,6.761448,6.4568305,0.02196988397926438
COL17A1,6.8654346,6.410502,0.02122932609232288
GYPB,6.8973603,6.395437,0.020982473463342383
PCP4,6.9164586,6.3915744,0.020982473463342383
PLIN4,6.915251,6.391362,0.020982473463342383
FOXJ1,6.942252,6.3776665,0.020735620834361885
SFTA2,6.992479,6.358826,0.020488768205381386
ACE2,7.0955467,6.3203692,0.01999506294742039
SELE,7.0756946,6.3245387,0.01999506294742039
FCN2,7.125831,6.3059464,0.01974821031843989
AGER,7.164506,6.288713,0.019501357689459393
CHGA,7.3543167,6.2144547,0.0185139471735374
ASCL1,7.366366,6.21178,0.0185139471735374
BBOX1,7.401023,6.195961,0.0182670945445569
HPGDS,7.422705,6.191471,0.0182670945445569
GCG,7.4052167,6.1950192,0.0182670945445569
DNASE1L3,7.4152136,6.193181,0.0182670945445569
CCDC78,7.5637183,6.1458206,0.017773389286595904
HPX,7.5836267,6.131491,0.017526536657615402
DMBT1,7.7918344,6.0512104,0.016539126141693408
LPL,8.120487,5.936148,0.015304862996790916
CA4,8.267375,5.8876886,0.01481115773882992
CTSG,8.320779,5.8658013,0.014564305109849419
SST,8.530478,5.793244,0.013823747222907924
CRHBP,8.599531,5.7685027,0.013576894593927425
MLANA,8.765842,5.714411,0.013083189335966429
PPY,8.879221,5.682519,0.01283633670698593
PEBP4,8.925241,5.66102,0.01258948407800543
UPK3B,9.250148,5.566698,0.011848926191063935
CCL27,9.208664,5.5729227,0.011848926191063935
SNCG,9.557672,5.4729013,0.01110836830412244
TFF2,9.659955,5.442266,0.010861515675141941
AQP3,9.742301,5.4131637,0.01061466304616144
SPDEF,9.893533,5.373988,0.010367810417180942
TCF15,10.414704,5.2288566,0.009380399901258949
RETN,10.52021,5.194603,0.00913354727227845
UMOD,10.721253,5.147238,0.008886694643297952
TMEM174,10.982137,5.072318,0.008392989385336953
INS,11.013858,5.068569,0.008392989385336953
KLK11,10.9852495,5.072283,0.008392989385336953
LY6D,10.9968605,5.0705967,0.008392989385336953
TAT,11.14391,5.0301924,0.008146136756356455
HES4,11.341805,4.982241,0.007899284127375956
GPX2,11.579219,4.930346,0.007652431498395458
FOXA1,11.509717,4.9385304,0.007652431498395458
KRT7,11.994048,4.832209,0.00715872624043446
C20orf85,12.096226,4.79422,0.006911873611453962
