,cv,entropy,nonzero_ratio
KLRF1,7.0338635,12.1324835,0.020008068842298467
FCER1A,7.163206,12.083708,0.01936522151632167
DUSP2,7.291964,12.034249,0.018700207041173263
BLANK_0030,7.295489,12.031088,0.018642572453327066
C1QA,7.4059725,11.990761,0.018150461741717246
TPSAB1,7.5126376,11.958518,0.01786228880248627
C5orf46,7.466304,11.967275,0.017844555083148975
KLRB1,7.4785213,11.963512,0.017809087644474395
IL7R,7.493943,11.957079,0.01772041904778794
PDGFRA,7.509403,11.951982,0.017667217889776068
LPL,7.535417,11.943671,0.01758741615275826
DPT,7.545848,11.939794,0.017538648424580708
KIT,7.6612105,11.901718,0.01713077287982302
LAG3,7.637319,11.897874,0.01700663684446198
HPX,7.7067566,11.873425,0.016718463905231004
CD3G,7.731366,11.864205,0.016620928448875905
CXCL5,7.8382764,11.824965,0.016164285175940662
PRDM1,7.89259,11.807513,0.015991381412402077
ADGRE5,7.993959,11.7689085,0.01555690528863845
CD163,8.12023,11.725461,0.01510026201570321
PIM1,8.12291,11.7251625,0.01510026201570321
KLRD1,8.241862,11.682379,0.01464805217260229
EGFR,8.272601,11.672567,0.014554950146081514
FBLN1,8.345108,11.651173,0.014364312663205635
ADIPOQ,8.350516,11.648619,0.014333278654365377
PTGDS,8.386354,11.634524,0.014173675180329758
CRISPLD2,8.44284,11.616403,0.014009638276459818
ALDH1A3,8.453845,11.612221,0.013960870548282267
CYTIP,8.493985,11.599342,0.013841167942755554
CLEC14A,8.535656,11.585393,0.013703731617891549
KDR,8.617912,11.55876,0.013451026117335153
APOBEC3A,8.651668,11.547838,0.013344623801311408
MYH11,8.655758,11.546608,0.013340190371477085
FOXP3,8.682982,11.538149,0.013264822064293599
AQP3,8.685764,11.536299,0.013238221485287664
TNFRSF17,8.741721,11.517686,0.013060884291914755
BANK1,8.838078,11.487313,0.01279487850185539
CCR7,8.888936,11.471,0.01264857531732274
CLEC9A,8.934569,11.457401,0.012537739571464672
SFRP1,9.068337,11.417716,0.012218532623393437
CD69,9.064178,11.418007,0.01220966576372479
TCEAL7,9.209177,11.369352,0.011792923359298454
PLD4,9.23192,11.363453,0.011748589060955227
LY86,9.237795,11.361278,0.011730855341617935
TIGIT,9.247896,11.357373,0.011695387902943354
TIMP4,9.324869,11.33445,0.0115091838499018
CD247,9.330371,11.333213,0.011504750420067477
CCL5,9.419502,11.308528,0.011322979796860245
ANGPT2,9.509989,11.279123,0.011079141155972494
IL2RG,9.606266,11.252647,0.010888503673096617
CLECL1,9.595178,11.252757,0.01087520338359365
GJB2,9.645856,11.2389,0.01077766792723855
FAM49A,9.667464,11.2321615,0.010724466769226677
MRC1,9.789068,11.197955,0.010480628128338927
MMRN2,9.918461,11.159835,0.010201322048776594
AKR1C3,10.04111,11.1174965,0.009904282249876972
ESM1,10.087036,11.1123085,0.009873248241036713
CTLA4,10.120412,11.103636,0.009815613653190518
MMP1,10.127261,11.093484,0.00973581191617271
SCGB2A1,10.2414055,11.062098,0.00952744071395954
MS4A1,10.433299,11.010353,0.009194933476385336
LRRC15,10.517698,10.98663,0.009044196862018364
MZB1,10.760006,10.923686,0.008658488466432286
GZMA,11.028025,10.854275,0.00825947978134324
SPIB,11.219093,10.804227,0.00796687341227794
MMP12,11.308424,10.782227,0.007847170806751227
FOXC2,11.350075,10.771869,0.007789536218905032
UCP1,11.705332,10.685587,0.0073373263758041134
HOXD9,11.734704,10.67822,0.007301858937129532
AVPR1A,11.8300905,10.655832,0.0071910231912714635
IL3RA,11.921086,10.634356,0.007084620875247718
CEACAM8,12.007032,10.604204,0.006933884260880745
TCL1A,12.058668,10.591924,0.00687624967303455
PDCD1LG2,12.078829,10.587753,0.006858515953697259
CD80,12.481963,10.494852,0.006432906689602277
SNAI1,12.554553,10.4788265,0.006361971812253113
EGFL7,12.709241,10.443596,0.006206801768051818
MUC6,12.969216,10.38505,0.005958529697329745
OPRPN,12.972634,10.384912,0.005958529697329745
NDUFA4L2,13.116432,10.353612,0.005829960232134386
KRT6B,13.397222,10.293176,0.005590555021080959
NCAM1,13.809577,10.207146,0.005266914643175399
CAVIN2,13.910283,10.187522,0.005200413195660559
CD27,13.999395,10.168895,0.005133911748145718
LILRA4,14.128319,10.143217,0.005040809721624941
CCL8,14.42604,10.079896,0.004828005089577449
SOX18,14.682103,10.027869,0.004650667896204541
PRF1,15.3025875,9.90991,0.004287126649790077
NKG7,16.40298,9.712628,0.0037418147801683817
CTSG,16.469913,9.701828,0.0037152142011624453
KRT5,16.970692,9.61246,0.003489109279611986
IL2RA,17.340881,9.550663,0.003342806095079336
CD19,17.551914,9.514876,0.0032585709282272044
CD79B,17.974848,9.447773,0.0031122677436945544
LTB,19.14572,9.266451,0.0027442930674457682
GNLY,20.096504,9.128559,0.002496020996723695
NegControlProbe_00012,23.083101,8.729594,0.0018930745392558045
S100A8,23.688665,8.654254,0.0017955390829007044
CD79A,25.487034,8.447858,0.0015605673016816
BLANK_0294,27.895231,8.183017,0.0012945615116222364
NegControlProbe_00013,30.10088,7.9642267,0.0011127908884150045
BLANK_0427,32.842224,7.713459,0.0009354536950420954
NegControlProbe_00042,33.572323,7.6503577,0.0008955528265331908
GZMK,34.234,7.597089,0.0008645188176929318
BLANK_0357,35.30707,7.502509,0.0008068842298467364
BLANK_0114,38.298374,7.2696266,0.0006871816243200227
NegControlCodeword_0515,39.58122,7.173946,0.0006428473259767955
BLANK_0352,40.017418,7.1430297,0.0006295470364738273
NegControlProbe_00004,40.72951,7.0918045,0.0006073798873022136
BLANK_0273,41.228645,7.058331,0.0005940795977992454
BLANK_0415,41.473503,7.038882,0.0005852127381305999
PDCD1,41.97259,7.0050535,0.0005719124486276318
BLANK_0399,42.332085,6.981587,0.0005630455889589864
BLANK_0311,45.284184,6.7872725,0.0004921107116098227
NegControlCodeword_0537,46.78619,6.693177,0.0004610767027695636
BLANK_0446,46.720684,6.695282,0.0004610767027695636
NegControlProbe_00017,48.41755,6.5934825,0.00043004269392930453
BLANK_0272,49.184254,6.5481615,0.00041674240442633634
NegControlProbe_00009,49.448193,6.532744,0.0004123089745920136
BLANK_0120,51.37489,6.421173,0.0003812749657517545
BLANK_0355,52.0309,6.385965,0.00037240810608310906
BLANK_0337,52.40031,6.3671103,0.0003679746762487863
BLANK_0359,54.28736,6.2619386,0.00034137409724285
BLANK_0097,57.883022,6.0798225,0.00030147322873394543
NegControlCodeword_0501,59.20437,6.0148435,0.0002881729392309773
BLANK_0072,60.07668,5.971248,0.0002793060795623318
NegControlCodeword_0538,64.50927,5.7706366,0.00024383864088774998
BLANK_0223,64.88266,5.7488685,0.00023940521105342727
BLANK_0368,64.90655,5.748447,0.00023940521105342727
BLANK_0436,65.51985,5.7214537,0.00023497178121910454
NegControlProbe_00003,66.18379,5.6932096,0.0002305383513847818
BLANK_0483,66.98424,5.6618056,0.00022610492155045907
BLANK_0146,68.26097,5.605605,0.00021723806188181363
BLANK_0319,70.20416,5.5195985,0.00020393777237884543
BLANK_0433,70.25364,5.518612,0.00020393777237884543
BLANK_0376,72.072495,5.4500427,0.0001950709127102
BLANK_0037,71.82349,5.454595,0.0001950709127102
NegControlCodeword_0500,71.92157,5.452651,0.0001950709127102
NegControlProbe_00033,72.62596,5.422047,0.00019063748287587726
BLANK_0027,73.62867,5.385284,0.00018620405304155453
BLANK_0497,73.58159,5.3862805,0.00018620405304155453
NegControlProbe_00014,74.66714,5.347663,0.00018177062320723182
BLANK_0110,74.444855,5.3520494,0.00018177062320723182
NegControlCodeword_0502,75.31142,5.317478,0.0001773371933729091
BLANK_0416,75.3039,5.317672,0.0001773371933729091
BLANK_0407,75.36311,5.316526,0.0001773371933729091
NegControlCodeword_0524,76.44039,5.2778344,0.00017290376353858636
NegControlCodeword_0503,76.33548,5.27975,0.00017290376353858636
NegControlProbe_00035,78.45795,5.202241,0.00016403690386994092
BLANK_0374,78.54907,5.200623,0.00016403690386994092
BLANK_0383,79.428276,5.1647024,0.00015960347403561818
NegControlCodeword_0540,79.51511,5.163273,0.00015960347403561818
BLANK_0087,81.86953,5.0798545,0.00015073661436697272
BLANK_0499,82.18487,5.0743093,0.00015073661436697272
NegControlProbe_00025,81.9758,5.0782127,0.00015073661436697272
NegControlCodeword_0525,81.65053,5.083697,0.00015073661436697272
NegControlProbe_00022,81.824615,5.0806537,0.00015073661436697272
NegControlProbe_00024,82.97857,5.0388327,0.00014630318453264998
BLANK_0321,82.91789,5.0399375,0.00014630318453264998
BLANK_0425,84.32302,4.993592,0.00014186975469832728
BLANK_0485,87.0489,4.901199,0.0001330028950296818
BLANK_0424,88.56433,4.851882,0.00012856946519535908
NegControlProbe_00034,89.961876,4.80379,0.00012413603536103637
BLANK_0303,90.015045,4.802994,0.00012413603536103637
BLANK_0230,91.8469,4.747704,0.00011970260552671364
BLANK_0452,91.70649,4.749986,0.00011970260552671364
BLANK_0278,91.854065,4.7476177,0.00011970260552671364
BLANK_0487,91.709694,4.7498574,0.00011970260552671364
BLANK_0489,91.75155,4.749254,0.00011970260552671364
BLANK_0189,91.67171,4.7504196,0.00011970260552671364
BLANK_0430,91.868515,4.7476683,0.00011970260552671364
BLANK_0453,91.61201,4.751334,0.00011970260552671364
NegControlCodeword_0519,93.628975,4.6929674,0.0001152691756923909
NegControlCodeword_0533,93.434616,4.6957707,0.0001152691756923909
BLANK_0006,93.60655,4.6930723,0.0001152691756923909
BLANK_0069,93.57997,4.693613,0.0001152691756923909
BLANK_0253,95.58029,4.6346846,0.00011083574585806818
BLANK_0451,95.378685,4.637667,0.00011083574585806818
NegControlProbe_00039,95.61368,4.634204,0.00011083574585806818
BLANK_0474,97.28646,4.57972,0.00010640231602374545
BLANK_0375,97.22831,4.5805936,0.00010640231602374545
NegControlCodeword_0528,97.298416,4.579523,0.00010640231602374545
BLANK_0147,97.37505,4.578631,0.00010640231602374545
BLANK_0250,99.43974,4.517378,0.00010196888618942272
BLANK_0422,99.411606,4.517798,0.00010196888618942272
BLANK_0491,99.55244,4.5159416,0.00010196888618942272
BLANK_0461,99.39522,4.5182137,0.00010196888618942272
BLANK_0449,99.24857,4.520237,0.00010196888618942272
BLANK_0011,99.4936,4.516846,0.00010196888618942272
BLANK_0287,99.370674,4.518515,0.00010196888618942272
BLANK_0471,99.711075,4.513765,0.00010196888618942272
NegControlCodeword_0535,101.810074,4.4515595,9.75354563551e-05
BLANK_0344,101.65326,4.4535627,9.75354563551e-05
BLANK_0442,101.8705,4.4505744,9.75354563551e-05
NegControlCodeword_0534,101.52951,4.4553814,9.75354563551e-05
BLANK_0218,101.476166,4.456144,9.75354563551e-05
BLANK_0419,103.86267,4.389081,9.310202652077726e-05
BLANK_0180,104.04463,4.3865147,9.310202652077726e-05
BLANK_0350,106.419044,4.3188334,8.866859668645454e-05
BLANK_0439,106.46777,4.3182163,8.866859668645454e-05
BLANK_0362,106.65224,4.3157144,8.866859668645454e-05
BLANK_0405,106.50441,4.3175864,8.866859668645454e-05
BLANK_0450,106.54016,4.317073,8.866859668645454e-05
BLANK_0186,106.658615,4.3158083,8.866859668645454e-05
NegControlCodeword_0532,106.84491,4.313257,8.866859668645454e-05
BLANK_0476,109.46981,4.2411346,8.423516685213181e-05
BLANK_0464,109.23616,4.2440596,8.423516685213181e-05
BLANK_0462,109.50434,4.240565,8.423516685213181e-05
BLANK_0494,109.68997,4.2380395,8.423516685213181e-05
