,cv,nonzero_ratio
GGT2,68.65210201526601,0.00022686025408348456
GGT3P,103.27807124457244,0.00014436561623494472
GGT4P,220.19763849777323,2.062365946213496e-05
GGT5,3.3428643963608993,0.11642055766375185
GGT6,4.44335141842477,0.06673816201946874
GGT7,7.05203208977525,0.023634713743606664
GGT8P,123.09142943351004,0.0001031182973106748
GGTA1P,7.234356706372082,0.024253423527470716
GGTA2P,134.84064669080294,6.187097838640488e-05
GGTLC1,16.10047179165516,0.0049496782709123905
GGTLC2,42.01133338987364,0.0005980861244019139
GGTLC3,155.70163775627967,4.124731892426992e-05
GGTLC4P,94.36609128112279,0.00012374195677280976
GH1,81.1405578207456,0.00016498927569707968
GH2,174.08044117588798,4.124731892426992e-05
GHDC,7.092616959749278,0.023882197657152285
GHET1,70.33317213122575,0.00022686025408348456
GHITM,1.7340661482677437,0.41125639333443326
GHR,17.187370653843608,0.004042237254578453
GHRH,82.56891061409338,0.0002474839135456195
GHRHR,62.02623612837543,0.0003093548919320244
GHRL,28.525374763427813,0.0016498927569707968
GHRLOS,35.65195265894581,0.001051806632568883
GID4,9.70582462127922,0.01408595941263818
GID8,2.712454879455475,0.1725375350602211
GIGYF1,7.085898514273187,0.02415030523016004
GIGYF2,4.262636111691474,0.07158472199307045
GIHCG,6.880534693151827,0.0282544134631249
GIMAP1,5.840377354076505,0.039844910080844745
GIMAP1-GIMAP5,4.46659681109575,0.06778996865203762
GIMAP2,7.203198684125697,0.02386157399769015
GIMAP3P,155.70163775627518,4.124731892426992e-05
GIMAP4,4.091453183742588,0.07808117472364297
GIMAP5,9.183805018625845,0.014642798218115823
GIMAP6,5.386333390802727,0.04328906121102128
GIMAP7,6.204718161240055,0.03400841445306055
GIMAP8,7.638977152118079,0.02223230490018149
GIN1,10.302126335158782,0.011920475169114007
GINM1,3.9151471696216436,0.08173156244844085
GINS1,4.235032888220227,0.06902738821976571
GINS2,4.04823194792345,0.08400016498927569
GINS3,7.0420450428714485,0.026336413133146344
GINS4,6.685920282128991,0.03105923114997525
GIP,41.96039490383342,0.0006187097838640488
GIPC1,2.8298392699914077,0.16632981356211846
GIPC2,10.989053106877206,0.009940603860749051
GIPC3,19.63687846591208,0.003361656492327999
GIPR,16.58785704588922,0.004887807292525986
GIT1,3.928714992942832,0.08408265962712423
GIT2,4.420969518850049,0.06568635538689985
GJA1,1.7629510712077474,0.37885662431941924
GJA10,110.09541316509976,8.249463784853984e-05
GJA3,19.742443120265087,0.003258538195017324
GJA4,8.39544990637978,0.01957185282956608
GJA5,5.647066308499471,0.04198977066490678
GJA6P,220.19763849776353,2.062365946213496e-05
GJB1,11.546593443657118,0.008290711103778254
GJB2,7.883282974625098,0.020644283121597096
GJB3,7.043393670655435,0.027161359511631743
GJB4,9.551821788462991,0.01330226035307705
GJB5,6.1058360104524985,0.03582329648572843
GJB6,12.72563299502025,0.007836990595611285
GJB7,12.640238193594522,0.008166969147005444
GJC1,4.681622146917489,0.05675631083979541
GJC2,17.765176716251887,0.004062860914040588
GJC3,27.04553335507814,0.001979871308364956
GJD3,112.11584617236481,0.00012374195677280976
GJD4,107.87084870339655,0.00012374195677280976
GK,4.564211549265065,0.061932849364791286
GK-AS1,18.209304655262628,0.0036091404058736184
GK-IT1,34.99858924665885,0.0011755485893416929
GK3P,127.12854387061853,6.187097838640488e-05
GK5,5.312643599266423,0.045495792773469726
GKAP1,9.708562148609015,0.013776604520706155
GKN1,110.09541316507712,8.249463784853984e-05
GKN2,16.692645133751807,0.004537205081669692
GKN3P,220.19763849777945,2.062365946213496e-05
GLA,4.094371955242969,0.07902986305890117
GLB1,2.8774305847363406,0.1524913380630259
GLB1L,10.096667331946454,0.013364131331463455
GLB1L2,9.671283473540504,0.013962217455865369
GLB1L3,56.63118166909247,0.0003712258703184293
GLCCI1,4.624852899918502,0.058880547764395316
GLCE,4.8532578746404695,0.052260353077049994
GLDC,19.845789852439747,0.003176043557168784
GLDN,11.412707480778224,0.010002474839135456
GLE1,5.633475058200877,0.03961804982676126
GLG1,2.551030582480628,0.19165566738162018
GLI1,17.688288373358283,0.004289721168124072
GLI2,12.360198019824605,0.00835258208216466
GLI3,6.138548126629707,0.03466837155584887
GLI4,5.120328789084019,0.04865121267117637
GLIDR,24.54853564029581,0.0017736347137436066
GLIPR1,4.838282773362096,0.05514766540174889
GLIPR1L1,55.57214372233038,0.00035060221085629433
GLIPR1L2,43.325828865690674,0.0007424517406368586
GLIPR2,4.01085679392581,0.08202029368091074
GLIS1,5.884122647519828,0.041701039432436894
GLIS2-AS1,220.19763849776342,2.062365946213496e-05
GLIS3,4.664682879002561,0.06114915030523016
GLIS3-AS1,17.85984662369457,0.004207226530275532
GLMN,6.057914689267392,0.03514271572347798
