,cv,entropy,nonzero_ratio
PCOLCE,5.628359,10.170218,0.03095702342477096
AGR3,5.7276764,10.122053,0.029942039050188305
DMBT1,5.7966256,10.091761,0.029381126632655786
KLK11,5.788821,10.09213,0.029327706402414593
CCL5,5.8407984,10.066953,0.028820214215123267
LAMP3,5.846126,10.063406,0.028740083869761478
LY86,5.8694944,10.053023,0.028553113063917307
IGF1,5.87862,10.048281,0.02844627260343492
C7,5.899077,10.039742,0.028286011912711344
CNN1,5.9385357,10.021854,0.02796549053126419
PLD4,6.001105,9.990519,0.027324447768369883
CD83,6.008412,9.988042,0.027297737653249287
MRC1,6.1571693,9.919692,0.026042362242581267
CRISPLD2,6.1716776,9.912793,0.025908811666978285
LILRB2,6.2116494,9.897473,0.02566842063089292
MKI67,6.336003,9.839268,0.02462672614118967
CD300E,6.357493,9.827886,0.0244130452202249
CLEC14A,6.3993096,9.810027,0.024119233953898343
PPARG,6.4049706,9.807886,0.024092523838777746
DIRAS3,6.4148874,9.801943,0.023958973263174765
SRPX,6.42302,9.799974,0.023958973263174765
CSF2RA,6.4606924,9.783766,0.0236918721119688
SCGN,6.500131,9.76565,0.02337135073052165
GATA2,6.5470934,9.744376,0.023024119233953897
PLIN4,6.7659926,9.652075,0.021608483132562303
TNFRSF9,6.8314414,9.62535,0.021207831405753358
APOBEC3A,6.845823,9.619672,0.02112770106039157
CDK1,7.095843,9.51891,0.019712064958999975
IL7R,7.117103,9.510808,0.01960522449851759
DPT,7.1519194,9.496126,0.01939154357755282
SPI1,7.194249,9.481704,0.01923128288682924
MAT1A,7.236565,9.461997,0.018937471620502685
ECSCR,7.234827,9.462388,0.018937471620502685
SCGB2A1,7.249327,9.457403,0.018884051390261492
THAP2,7.251853,9.455988,0.018857341275140896
CD1E,7.3383064,9.423712,0.018456689548331955
GHRL,7.392804,9.407558,0.018296428857608377
CFHR3,7.463732,9.375539,0.017842356900558243
CD1C,7.4894123,9.366333,0.017735516440075857
PTGDS,7.524947,9.353101,0.01757525574935228
SOX2,7.5236793,9.35074,0.017521835519111087
CD3E,7.5949483,9.326513,0.017254734367905127
ERG,7.6515603,9.305693,0.01701434333181976
CXCL9,7.8336096,9.236433,0.016186329763081278
PGC,7.9232163,9.205864,0.015865808381634126
MCEMP1,7.964828,9.193523,0.01575896792115174
RAPGEF3,7.9492846,9.195079,0.015732257806031144
CD28,7.964569,9.191154,0.015705547690910548
CA4,8.03306,9.16511,0.01541173642458399
