CELL_ID,CELL_TYPE
67446,Stromal / Fibroblast
67447,CD4 T cell
67448,Macrophage
67449,Macrophage
67450,Macrophage
67451,Granulocyte
67452,Macrophage
67453,Macrophage
67454,Tumor
67455,Macrophage
67456,Macrophage
67457,Macrophage
67458,Vessel
67459,Macrophage
67460,Granulocyte
67461,APC
67462,Macrophage
67463,Macrophage
67464,Tumor (Podo+)
67465,Macrophage
67466,Granulocyte
67467,APC
67468,Granulocyte
67469,CD4 T cell
67470,Stromal / Fibroblast
67471,Macrophage
67472,Stromal / Fibroblast
67473,Granulocyte
67474,Macrophage
67475,Tumor (CD20+)
67476,Macrophage
67477,CD4 T cell
67478,Vessel
67479,Macrophage
67480,Granulocyte
67481,Macrophage
67482,CD4 T cell
67483,Granulocyte
67484,Granulocyte
67485,CD8 T cell
67486,Naive immune cell
67487,Naive immune cell
67488,CD4 T cell
67489,Granulocyte
67490,Tumor (CD15+)
67491,Macrophage
67492,CD4 T cell
67493,Macrophage
67494,Tumor (CD20+)
67495,Macrophage
67496,Tumor (Podo+)
67497,Granulocyte
67498,Macrophage
67499,Granulocyte
67500,Macrophage
67501,Tumor (Podo+)
67502,CD8 T cell
67503,CD4 T cell
67504,Vessel
67505,Macrophage
67506,Granulocyte
67507,Macrophage
67508,APC
67509,Vessel
67510,Tumor (CD20+)
67511,Tumor (Ki67+)
67512,Macrophage
67513,Vessel
67514,Granulocyte
67515,CD4 T cell
67516,Tumor (CD20+)
67517,Macrophage
67518,Tumor (Ki67+)
67519,Tumor (Ki67+)
67520,APC
67521,CD4 T cell
67522,Stromal / Fibroblast
67523,Granulocyte
67524,Tumor (CD15+)
67525,Stromal / Fibroblast
67526,CD4 T cell
67527,Granulocyte
67528,Macrophage
67529,Granulocyte
67530,Granulocyte
67531,Tumor (CD20+)
67532,Vessel
67533,Stromal / Fibroblast
67534,Macrophage
67535,Macrophage
67536,Macrophage
67537,Tumor
67538,Naive immune cell
67539,Vessel
67540,Stromal / Fibroblast
67541,Granulocyte
67542,Tumor
67543,CD4 T cell
67545,CD8 T cell
67546,Macrophage
67547,Granulocyte
67548,Granulocyte
67549,Granulocyte
67550,Tumor (Ki67+)
67551,Macrophage
67552,Tumor
67553,Vessel
67554,CD4 T cell
67555,Macrophage
67556,CD4 T cell
67557,Macrophage
67558,Granulocyte
67559,Macrophage
67560,Stromal / Fibroblast
67561,Tumor (CD15+)
67562,Tumor (Podo+)
67563,Vessel
67564,Vessel
67565,Granulocyte
67566,Macrophage
67567,Granulocyte
67568,Macrophage
67569,Vessel
67570,Stromal / Fibroblast
67571,Granulocyte
67572,Tumor (Podo+)
67573,CD4 T cell
67574,APC
67575,CD4 T cell
67576,Naive immune cell
67577,CD4 T cell
67578,Macrophage
67579,Tumor (Ki67+)
67580,CD4 T cell
67581,Vessel
67582,Macrophage
67583,Tumor (Podo+)
67584,CD4 T cell
67585,Granulocyte
67586,Stromal / Fibroblast
67587,Tumor (CD20+)
67588,Macrophage
67589,Tumor (CD21+)
67590,Stromal / Fibroblast
67591,Vessel
67592,Granulocyte
67593,Granulocyte
67594,Tumor (CD20+)
67595,Macrophage
67596,Macrophage
67597,Macrophage
67598,Tumor (Podo+)
67599,Tumor (Podo+)
67600,CD8 T cell
67601,CD8 T cell
67602,Macrophage
67603,CD4 T cell
67604,Granulocyte
67605,Vessel
67606,Tumor (Podo+)
67607,Tumor (Ki67+)
67608,Vessel
67609,Macrophage
67610,CD8 T cell
67611,Vessel
67612,Macrophage
67613,Tumor (CD21+)
67614,Stromal / Fibroblast
67615,CD8 T cell
67616,Granulocyte
67617,CD4 T cell
67618,CD8 T cell
67619,Tumor (CD15+)
67620,Tumor (CD20+)
67621,Tumor (Podo+)
67622,Granulocyte
67623,Macrophage
67624,Tumor (CD21+)
67625,Stromal / Fibroblast
67626,Macrophage
67627,APC
67628,CD4 T cell
67629,Vessel
67630,Vessel
67631,CD8 T cell
67632,Tumor
67633,Tumor (Ki67+)
67634,Stromal / Fibroblast
67635,Macrophage
67636,Granulocyte
67637,Tumor (Ki67+)
67638,CD8 T cell
67639,CD4 T cell
67640,Vessel
67641,Naive immune cell
67642,Macrophage
67643,CD4 T cell
67644,CD4 T cell
67645,Tumor (Podo+)
67646,Macrophage
67647,Granulocyte
67648,Granulocyte
67649,Granulocyte
67650,Tumor (Ki67+)
67651,Tumor (Ki67+)
67652,Tumor (Podo+)
67653,Granulocyte
67654,Tumor (Ki67+)
67655,Tumor (Ki67+)
67656,Tumor (Podo+)
67657,Macrophage
67658,Naive immune cell
67659,Macrophage
67660,Granulocyte
67661,Granulocyte
67662,Tumor (CD15+)
67663,Tumor (CD20+)
67664,CD4 T cell
67665,CD4 T cell
67666,Vessel
67667,Tumor (CD15+)
67668,B cell
67669,B cell
67670,Tumor (CD21+)
67671,Tumor (Ki67+)
67672,Macrophage
67673,Granulocyte
67674,Granulocyte
67675,Tumor (CD20+)
67676,CD4 T cell
67677,Tumor (Ki67+)
67678,Tumor (CD21+)
67679,Granulocyte
67680,Tumor (Ki67+)
67681,Tumor (Ki67+)
67682,CD4 T cell
