region_id,cell_id,cluster
UPMC_c001_v001_r001_reg001,1847,1
UPMC_c001_v001_r001_reg001,1913,1
UPMC_c001_v001_r001_reg001,3589,0
UPMC_c001_v001_r001_reg001,1349,1
UPMC_c001_v001_r001_reg001,3661,1
UPMC_c001_v001_r001_reg001,782,1
UPMC_c001_v001_r001_reg001,1811,1
UPMC_c001_v001_r001_reg001,1514,1
UPMC_c001_v001_r001_reg001,3073,1
UPMC_c001_v001_r001_reg001,2906,1
UPMC_c001_v001_r001_reg001,2861,1
UPMC_c001_v001_r001_reg001,1159,1
UPMC_c001_v001_r001_reg001,3587,1
UPMC_c001_v001_r001_reg001,1402,1
UPMC_c001_v001_r001_reg001,1036,1
UPMC_c001_v001_r001_reg001,1428,0
UPMC_c001_v001_r001_reg001,2972,1
UPMC_c001_v001_r001_reg001,3194,0
UPMC_c001_v001_r001_reg001,1011,1
UPMC_c001_v001_r001_reg001,3540,1
UPMC_c001_v001_r001_reg001,1510,1
UPMC_c001_v001_r001_reg001,2556,0
UPMC_c001_v001_r001_reg001,1769,1
UPMC_c001_v001_r001_reg001,2024,1
UPMC_c001_v001_r001_reg001,882,1
UPMC_c001_v001_r001_reg001,2705,1
UPMC_c001_v001_r001_reg001,1911,1
UPMC_c001_v001_r001_reg001,2231,0
UPMC_c001_v001_r001_reg001,1222,1
UPMC_c001_v001_r001_reg001,2508,0
UPMC_c001_v001_r001_reg001,2667,0
UPMC_c001_v001_r001_reg001,2258,0
UPMC_c001_v001_r001_reg001,2946,1
UPMC_c001_v001_r001_reg001,3208,1
UPMC_c001_v001_r001_reg001,2853,0
UPMC_c001_v001_r001_reg001,2250,1
UPMC_c001_v001_r001_reg001,2114,1
UPMC_c001_v001_r001_reg001,3113,1
UPMC_c001_v001_r001_reg001,3583,1
UPMC_c001_v001_r001_reg001,501,1
UPMC_c001_v001_r001_reg001,1737,1
UPMC_c001_v001_r001_reg001,1323,1
UPMC_c001_v001_r001_reg001,3000,1
UPMC_c001_v001_r001_reg001,2185,0
UPMC_c001_v001_r001_reg001,2530,1
UPMC_c001_v001_r001_reg001,2751,1
UPMC_c001_v001_r001_reg001,734,1
UPMC_c001_v001_r001_reg001,1155,1
UPMC_c001_v001_r001_reg001,3840,1
UPMC_c001_v001_r001_reg001,3465,1
UPMC_c001_v001_r001_reg001,164,1
UPMC_c001_v001_r001_reg001,2997,1
UPMC_c001_v001_r001_reg001,3125,1
UPMC_c001_v001_r001_reg001,3220,1
UPMC_c001_v001_r001_reg001,1490,1
UPMC_c001_v001_r001_reg001,1403,1
UPMC_c001_v001_r001_reg001,1594,1
UPMC_c001_v001_r001_reg001,3178,0
UPMC_c001_v001_r001_reg001,1656,1
UPMC_c001_v001_r001_reg001,3958,1
UPMC_c001_v001_r001_reg001,263,1
UPMC_c001_v001_r001_reg001,3093,1
UPMC_c001_v001_r001_reg001,1111,1
UPMC_c001_v001_r001_reg001,1003,1
UPMC_c001_v001_r001_reg001,527,0
UPMC_c001_v001_r001_reg001,3859,0
UPMC_c001_v001_r001_reg001,1562,0
UPMC_c001_v001_r001_reg001,4115,1
UPMC_c001_v001_r001_reg001,3245,1
UPMC_c001_v001_r001_reg001,3396,1
UPMC_c001_v001_r001_reg001,1770,1
UPMC_c001_v001_r001_reg001,2602,0
UPMC_c001_v001_r001_reg001,4017,1
UPMC_c001_v001_r001_reg004,16650,1
UPMC_c001_v001_r001_reg004,19276,1
UPMC_c001_v001_r001_reg004,20577,1
UPMC_c001_v001_r001_reg004,20481,1
UPMC_c001_v001_r001_reg004,18396,1
UPMC_c001_v001_r001_reg004,20588,1
UPMC_c001_v001_r001_reg004,22542,1
UPMC_c001_v001_r001_reg004,19144,1
UPMC_c001_v001_r001_reg004,19563,1
UPMC_c001_v001_r001_reg004,17135,1
UPMC_c001_v001_r001_reg004,18376,1
UPMC_c001_v001_r001_reg004,19285,1
UPMC_c001_v001_r001_reg004,18593,1
UPMC_c001_v001_r001_reg004,15994,1
UPMC_c001_v001_r001_reg004,18253,1
UPMC_c001_v001_r001_reg004,18313,1
UPMC_c001_v001_r001_reg004,20572,1
UPMC_c001_v001_r001_reg004,17128,1
UPMC_c001_v001_r001_reg004,19156,1
UPMC_c001_v001_r001_reg004,17218,1
UPMC_c001_v001_r001_reg004,17300,1
UPMC_c001_v001_r001_reg004,17102,1
UPMC_c001_v001_r001_reg004,17046,1
UPMC_c001_v001_r001_reg004,20357,1
UPMC_c001_v001_r001_reg004,18276,1
UPMC_c001_v001_r001_reg004,17528,1
UPMC_c001_v001_r001_reg004,20254,1
UPMC_c001_v001_r001_reg004,17880,1
UPMC_c001_v001_r001_reg004,16300,1
UPMC_c001_v001_r001_reg004,22329,1
UPMC_c001_v001_r001_reg004,20930,1
UPMC_c001_v001_r001_reg004,17284,1
UPMC_c001_v001_r001_reg004,20876,1
UPMC_c001_v001_r001_reg004,20367,1
UPMC_c001_v001_r001_reg004,15988,1
UPMC_c001_v001_r001_reg004,16608,1
UPMC_c001_v001_r001_reg004,21173,1
UPMC_c001_v001_r001_reg004,20295,1
UPMC_c001_v001_r001_reg004,18742,1
UPMC_c001_v001_r001_reg004,17805,1
UPMC_c001_v001_r001_reg004,17759,1
UPMC_c001_v001_r001_reg004,18785,1
UPMC_c001_v001_r001_reg004,21210,1
UPMC_c001_v001_r001_reg004,19911,1
UPMC_c001_v001_r001_reg004,22278,1
UPMC_c001_v001_r001_reg004,21539,1
UPMC_c001_v001_r001_reg004,17680,1
UPMC_c001_v001_r001_reg004,17764,0
UPMC_c001_v001_r001_reg004,15947,1
UPMC_c001_v001_r001_reg004,17143,1
UPMC_c001_v001_r001_reg004,16017,1
UPMC_c001_v001_r001_reg004,19439,1
UPMC_c001_v001_r001_reg004,18351,1
UPMC_c001_v001_r001_reg004,21370,1
UPMC_c001_v001_r001_reg004,20225,1
UPMC_c001_v001_r001_reg004,22789,1
UPMC_c001_v001_r001_reg004,16269,1
UPMC_c001_v001_r001_reg004,20017,1
UPMC_c001_v001_r001_reg004,18085,1
UPMC_c001_v001_r001_reg004,19871,1
UPMC_c001_v001_r001_reg004,20384,1
UPMC_c001_v001_r001_reg004,16867,1
UPMC_c001_v001_r001_reg004,19768,1
UPMC_c001_v001_r001_reg004,20538,1
UPMC_c001_v001_r001_reg004,18621,1
UPMC_c001_v001_r001_reg004,19878,1
UPMC_c001_v001_r001_reg004,19334,1
UPMC_c001_v001_r001_reg004,19790,1
UPMC_c001_v001_r001_reg004,16201,0
UPMC_c001_v001_r001_reg004,20655,1
UPMC_c001_v001_r001_reg004,16291,1
UPMC_c001_v001_r001_reg004,18901,1
UPMC_c001_v001_r001_reg004,19000,1
UPMC_c001_v001_r001_reg004,16865,1
UPMC_c001_v001_r001_reg004,22397,1
UPMC_c001_v001_r001_reg004,20826,1
UPMC_c001_v001_r001_reg004,18298,1
UPMC_c001_v001_r001_reg004,17631,1
UPMC_c001_v001_r001_reg004,18391,1
UPMC_c001_v001_r001_reg004,18262,1
UPMC_c001_v001_r001_reg004,17439,1
UPMC_c001_v001_r001_reg004,21525,1
UPMC_c001_v001_r001_reg004,16473,1
UPMC_c001_v001_r001_reg004,17150,1
UPMC_c001_v001_r001_reg004,17822,1
UPMC_c001_v001_r001_reg004,21445,1
UPMC_c001_v001_r001_reg004,17107,1
UPMC_c001_v001_r001_reg004,18330,1
UPMC_c001_v001_r001_reg004,21582,1
UPMC_c001_v001_r001_reg004,17633,1
UPMC_c001_v001_r001_reg004,22337,1
UPMC_c001_v001_r001_reg004,18490,1
UPMC_c001_v001_r001_reg004,19348,1
UPMC_c001_v001_r001_reg004,21300,1
UPMC_c001_v001_r001_reg004,19648,1
UPMC_c001_v001_r001_reg004,19633,1
UPMC_c001_v001_r001_reg004,17655,1
UPMC_c001_v001_r001_reg004,20678,1
UPMC_c001_v001_r001_reg004,17088,1
UPMC_c001_v001_r001_reg004,19357,1
UPMC_c001_v001_r001_reg004,18064,1
UPMC_c001_v001_r001_reg004,19211,1
UPMC_c001_v001_r001_reg004,21561,1
UPMC_c001_v001_r001_reg004,16116,1
UPMC_c001_v001_r001_reg004,20200,1
UPMC_c001_v001_r001_reg004,20912,1
UPMC_c001_v001_r001_reg004,19818,1
UPMC_c001_v001_r001_reg004,17513,1
UPMC_c001_v001_r001_reg004,21290,1
UPMC_c001_v001_r001_reg004,17428,1
UPMC_c001_v001_r001_reg004,19987,1
UPMC_c001_v001_r001_reg004,20235,1
UPMC_c001_v001_r001_reg004,20760,1
UPMC_c001_v001_r001_reg004,21971,1
UPMC_c001_v001_r001_reg004,20479,1
UPMC_c001_v001_r001_reg004,18347,1
UPMC_c001_v001_r001_reg004,18610,1
UPMC_c001_v001_r001_reg004,22056,1
UPMC_c001_v001_r001_reg004,20976,1
UPMC_c001_v001_r001_reg004,17366,1
UPMC_c001_v001_r001_reg004,22745,1
UPMC_c001_v001_r001_reg004,21264,1
UPMC_c001_v001_r001_reg004,21076,1
UPMC_c001_v001_r001_reg004,20171,1
UPMC_c001_v001_r001_reg004,16301,0
UPMC_c001_v001_r001_reg004,16509,1
UPMC_c001_v001_r001_reg004,19730,1
UPMC_c001_v001_r001_reg004,19031,1
UPMC_c001_v001_r001_reg004,17017,1
UPMC_c001_v001_r001_reg004,17621,1
UPMC_c001_v001_r001_reg004,18442,1
UPMC_c001_v001_r001_reg004,20605,1
UPMC_c001_v001_r001_reg004,17516,1
UPMC_c001_v001_r001_reg004,19456,1
UPMC_c001_v001_r001_reg004,20670,1
UPMC_c001_v001_r001_reg004,16130,1
UPMC_c001_v001_r001_reg004,16358,1
UPMC_c001_v001_r001_reg004,16857,1
UPMC_c001_v001_r001_reg004,17230,1
UPMC_c001_v001_r001_reg004,21316,1
UPMC_c001_v001_r001_reg004,19605,1
UPMC_c001_v001_r001_reg004,20736,1
UPMC_c001_v001_r001_reg004,20019,1
UPMC_c001_v001_r001_reg004,16634,1
UPMC_c001_v001_r001_reg004,20011,1
UPMC_c001_v001_r001_reg004,17071,1
UPMC_c001_v001_r001_reg004,20415,1
UPMC_c001_v001_r001_reg004,18074,1
UPMC_c001_v001_r001_reg004,20628,0
UPMC_c001_v001_r001_reg004,21008,1
UPMC_c001_v001_r001_reg004,17070,1
UPMC_c001_v001_r001_reg004,18091,1
UPMC_c001_v001_r001_reg004,17257,1
UPMC_c001_v001_r001_reg004,21259,1
UPMC_c001_v001_r001_reg004,21060,1
UPMC_c001_v001_r001_reg004,16281,1
UPMC_c001_v001_r001_reg004,20392,1
UPMC_c001_v001_r001_reg004,16693,1
UPMC_c001_v001_r001_reg004,21418,1
UPMC_c001_v001_r001_reg004,19616,1
UPMC_c001_v001_r001_reg004,19743,1
UPMC_c001_v001_r001_reg004,17852,1
UPMC_c001_v001_r001_reg004,17431,1
UPMC_c001_v001_r001_reg004,18690,1
UPMC_c001_v001_r001_reg004,18584,1
UPMC_c001_v001_r001_reg004,21128,0
UPMC_c001_v001_r001_reg004,18981,1
UPMC_c001_v001_r001_reg004,16919,1
UPMC_c001_v001_r001_reg004,20062,1
UPMC_c001_v001_r001_reg004,19888,1
UPMC_c001_v001_r001_reg004,20264,1
UPMC_c001_v001_r001_reg004,20654,1
UPMC_c001_v001_r001_reg004,22666,1
UPMC_c001_v001_r001_reg004,17613,1
UPMC_c001_v001_r001_reg004,20216,1
UPMC_c001_v001_r001_reg004,20297,1
UPMC_c001_v001_r001_reg004,20162,1
UPMC_c001_v001_r001_reg004,19579,1
UPMC_c001_v001_r001_reg004,17502,1
UPMC_c001_v001_r001_reg004,22668,1
UPMC_c001_v001_r001_reg004,16905,1
UPMC_c001_v001_r001_reg004,18075,1
UPMC_c001_v001_r001_reg004,18815,1
UPMC_c001_v001_r001_reg004,18727,1
UPMC_c001_v001_r001_reg004,20692,1
UPMC_c001_v001_r001_reg004,18213,1
UPMC_c001_v001_r001_reg004,18559,1
UPMC_c001_v001_r001_reg004,17875,0
UPMC_c001_v001_r001_reg004,17630,1
UPMC_c001_v001_r001_reg004,21165,1
UPMC_c001_v001_r001_reg004,20208,1
UPMC_c001_v001_r001_reg004,17866,1
UPMC_c001_v001_r001_reg004,18181,1
UPMC_c001_v001_r001_reg004,20432,1
UPMC_c001_v001_r001_reg004,16945,1
UPMC_c001_v001_r001_reg004,21956,1
UPMC_c001_v001_r001_reg004,20395,1
UPMC_c001_v001_r001_reg004,16858,1
UPMC_c001_v001_r001_reg004,20089,1
UPMC_c001_v001_r001_reg004,17328,0
UPMC_c001_v001_r001_reg004,20933,1
UPMC_c001_v001_r001_reg004,16095,1
UPMC_c001_v001_r001_reg004,17563,1
UPMC_c001_v001_r001_reg004,17688,1
UPMC_c001_v001_r001_reg004,18201,1
UPMC_c001_v001_r001_reg004,21099,1
UPMC_c001_v001_r001_reg004,18924,1
UPMC_c001_v001_r001_reg004,17108,1
UPMC_c001_v001_r001_reg004,19343,1
UPMC_c001_v001_r001_reg004,18548,1
UPMC_c001_v001_r001_reg004,19261,1
UPMC_c001_v001_r001_reg004,19902,1
UPMC_c001_v001_r001_reg004,16614,1
UPMC_c001_v001_r001_reg004,17552,1
UPMC_c001_v001_r001_reg004,20769,1
UPMC_c001_v001_r001_reg004,20500,1
UPMC_c001_v001_r001_reg004,16862,1
UPMC_c001_v001_r001_reg004,17499,1
UPMC_c001_v001_r001_reg004,19769,1
UPMC_c001_v001_r001_reg004,17568,1
UPMC_c001_v001_r001_reg004,17352,1
UPMC_c001_v001_r001_reg004,16354,0
UPMC_c001_v001_r001_reg004,17450,1
UPMC_c001_v001_r001_reg004,21613,1
UPMC_c001_v001_r001_reg004,20690,1
UPMC_c001_v001_r001_reg004,19879,1
UPMC_c001_v001_r001_reg004,17413,1
UPMC_c001_v001_r001_reg004,21246,1
UPMC_c001_v001_r001_reg004,18305,1
UPMC_c001_v001_r001_reg004,16930,1
UPMC_c001_v001_r001_reg004,15884,1
UPMC_c001_v001_r001_reg004,19757,1
UPMC_c001_v001_r001_reg004,20686,1
UPMC_c001_v001_r001_reg004,19260,1
UPMC_c001_v001_r001_reg004,19775,1
UPMC_c001_v001_r001_reg004,20900,1
UPMC_c001_v001_r001_reg004,18829,1
UPMC_c001_v001_r001_reg004,20095,1
UPMC_c001_v001_r001_reg004,19706,1
UPMC_c001_v001_r001_reg004,18285,1
UPMC_c001_v001_r001_reg004,20925,1
UPMC_c001_v001_r001_reg004,20238,1
UPMC_c001_v001_r001_reg004,18000,1
UPMC_c001_v001_r001_reg004,18341,1
UPMC_c001_v001_r001_reg004,16932,1
UPMC_c001_v001_r001_reg004,17935,1
UPMC_c001_v001_r001_reg004,20950,1
UPMC_c001_v001_r001_reg004,17849,1
UPMC_c001_v001_r001_reg004,17252,1
UPMC_c001_v001_r001_reg004,19938,1
UPMC_c001_v001_r001_reg014,69803,0
UPMC_c001_v001_r001_reg014,73391,1
UPMC_c001_v001_r001_reg014,67862,0
UPMC_c001_v001_r001_reg014,69983,1
UPMC_c001_v001_r001_reg014,68557,1
UPMC_c001_v001_r001_reg014,68475,1
UPMC_c001_v001_r001_reg014,72797,1
UPMC_c001_v001_r001_reg014,68577,1
UPMC_c001_v001_r001_reg014,70144,1
UPMC_c001_v001_r001_reg014,68876,1
UPMC_c001_v001_r001_reg014,67205,1
UPMC_c001_v001_r001_reg014,73045,1
UPMC_c001_v001_r001_reg014,68243,1
UPMC_c001_v001_r001_reg014,68361,1
UPMC_c001_v001_r001_reg014,69022,1
UPMC_c001_v001_r001_reg014,68036,1
UPMC_c001_v001_r001_reg014,72759,1
UPMC_c001_v001_r001_reg014,70960,0
UPMC_c001_v001_r001_reg014,70224,1
UPMC_c001_v001_r001_reg014,72876,1
UPMC_c001_v001_r001_reg014,68407,1
UPMC_c001_v001_r001_reg014,67454,1
UPMC_c001_v001_r001_reg014,73200,1
UPMC_c001_v001_r001_reg014,70401,1
UPMC_c001_v001_r001_reg014,66919,1
UPMC_c001_v001_r001_reg014,73367,1
UPMC_c001_v001_r001_reg014,68746,1
UPMC_c001_v001_r001_reg014,70369,1
UPMC_c001_v001_r001_reg014,70790,1
UPMC_c001_v001_r001_reg014,68646,1
UPMC_c001_v001_r001_reg014,73344,1
UPMC_c001_v001_r001_reg014,72858,1
UPMC_c001_v001_r001_reg014,71242,1
UPMC_c001_v001_r001_reg014,68271,1
UPMC_c001_v001_r001_reg014,71562,1
UPMC_c001_v001_r001_reg014,68786,1
UPMC_c001_v001_r001_reg014,68728,1
UPMC_c001_v001_r001_reg014,70846,0
UPMC_c001_v001_r001_reg014,69257,1
UPMC_c001_v001_r001_reg014,69082,1
UPMC_c001_v001_r001_reg014,71416,1
UPMC_c001_v001_r001_reg014,68241,1
UPMC_c001_v001_r001_reg014,68430,0
UPMC_c001_v001_r001_reg014,67788,1
UPMC_c001_v001_r001_reg014,68452,1
UPMC_c001_v001_r001_reg014,72937,1
UPMC_c001_v001_r001_reg014,69131,1
UPMC_c001_v001_r001_reg014,69479,1
UPMC_c001_v001_r001_reg014,67736,1
UPMC_c001_v001_r001_reg014,69427,1
UPMC_c001_v001_r001_reg014,68116,1
